date_ingested,decklist_id,favorites,likes,comments
2025-10-12T03:33:11.578Z,56032,0,0,0
2025-10-12T03:33:12.146Z,56033,0,0,0
2025-10-12T03:33:12.735Z,56034,0,0,0
2025-10-12T03:33:13.313Z,56035,0,0,0
2025-10-12T03:33:13.921Z,56036,0,0,0
2025-10-12T03:33:14.509Z,56037,0,0,0
2025-10-12T03:33:15.089Z,56038,0,0,0
2025-10-12T03:33:15.654Z,56039,0,0,0
2025-10-12T03:33:16.238Z,56040,0,0,0
2025-10-12T03:33:16.807Z,56041,0,0,0
2025-10-12T03:33:17.395Z,56042,0,0,0
2025-10-12T03:33:17.985Z,56043,0,0,0
2025-10-12T03:33:18.582Z,56044,0,0,0
2025-10-12T03:33:19.151Z,56045,0,0,0
2025-07-24T08:22:49.009Z,56046,0,0,0
2025-10-12T03:33:20.213Z,56047,0,0,0
2025-10-12T03:33:21.317Z,56048,1,3,0
2025-10-12T03:33:21.892Z,56049,0,0,0
2025-10-12T03:33:22.479Z,56050,0,0,0
2025-10-05T03:35:26.602Z,56012,0,0,0
2025-10-12T03:33:23.059Z,56013,0,0,0
2025-10-12T03:33:23.634Z,56014,3,5,0
2025-10-12T03:33:24.194Z,56015,0,0,0
2025-10-12T03:33:24.763Z,56016,0,0,0
2025-10-12T03:33:25.325Z,56017,0,0,0
2025-10-12T03:33:25.894Z,56018,0,0,0
2025-10-12T03:33:26.475Z,56019,0,0,0
2025-10-12T03:33:27.049Z,56020,0,0,0
2025-10-12T03:33:27.612Z,56021,0,0,0
2025-10-12T03:33:28.192Z,56022,0,0,0
2025-10-05T03:35:33.438Z,55993,1,1,1
2025-10-05T03:35:33.969Z,55994,0,0,0
2025-10-05T03:35:34.511Z,55995,0,0,0
2025-10-05T03:35:35.085Z,55996,0,0,0
2025-10-05T03:35:35.671Z,55997,0,0,0
2025-10-05T03:35:36.277Z,55998,0,0,0
2025-10-05T03:35:36.813Z,55999,0,0,0
2025-10-05T03:35:37.356Z,56000,12,15,2
2025-10-05T03:35:37.884Z,56001,0,0,0
2025-10-05T03:35:38.418Z,56002,0,0,0
2025-10-05T03:35:39.012Z,56003,0,0,0
2025-10-05T03:35:39.702Z,56004,0,0,0
2025-10-05T03:35:40.256Z,56005,0,0,0
2025-07-23T07:31:32.850Z,56006,0,0,0
2025-07-23T07:31:33.343Z,56007,0,0,0
2025-10-05T03:35:41.873Z,56008,0,2,0
